university_id,latent_quality,dim_research,dim_teaching,dim_international,dim_reputation,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11
U0001,34.71,43.58,31.03,12.79,32.73,829,1067,1119,1105,931,881,1007,1093,1196,1103,1040,36.1,30.34,27.32,27.82,31.78,33.82,30.22,30.14,26.71,30.99,30.3
U0002,38.91,33.28,44.56,34.79,36.22,813,878,514,470,659,688,464,563,530,684,518,36.49,34.09,39.09,40.91,37.49,37.7,41.46,40.53,40.07,38.78,40.81
U0003,49.38,41.97,36.27,23.56,45.14,542,576,585,416,544,636,399,535,399,381,735,42.46,40.55,37.45,42.29,40.1,38.72,42.96,41.02,43.23,46.05,36.01
U0004,40.4,46.46,30.53,16.97,34.71,470,695,790,822,691,672,646,1055,821,920,625,44.47,37.8,33.45,33.35,36.68,38.03,37.12,30.86,33.75,34.15,38.3
U0005,52.02,49.58,51.76,20.08,37.14,270,307,477,382,198,376,303,580,293,383,332,50.55,47.62,40.26,43.12,50.12,45.06,45.65,40.23,46.71,45.84,45.78
U0006,59.43,46.47,45.35,43.84,60.64,348,196,83,306,232,295,86,156,111,227,348,47.58,51.47,55.68,45.67,48.85,47.84,56.36,53.81,54.93,50.78,45.23
U0007,40.94,45.53,47.79,14.71,26.61,554,566,794,446,403,681,851,718,669,583,606,42.08,40.87,33.38,41.45,43.3,37.81,33.27,37.34,36.91,40.81,38.77
U0008,24.21,22.1,1.94,17.94,0.0,1628,1867,1861,1718,1873,1636,1865,1833,1748,1613,1845,19.41,11.38,10.14,14.65,10.2,17.9,10.82,13.16,14.35,20.58,11.75
U0009,43.48,43.92,27.63,9.04,35.55,613,587,1016,1226,626,719,878,995,896,1234,1092,40.79,40.3,29.39,25.54,38.14,37.18,32.73,31.96,32.36,28.47,29.37
U0010,61.57,47.86,46.45,47.07,47.29,141,155,143,300,167,275,194,180,252,190,120,55.35,53.19,52.07,45.79,51.2,48.57,50.48,52.63,47.99,52.8,54.75
U0011,25.45,16.49,17.63,0.0,36.2,1477,1548,1472,1533,1577,1545,1572,1346,1440,1629,1401,22.84,20.89,20.41,19.23,18.4,20.12,19.26,25.26,22.03,20.15,23.53
U0012,43.29,47.97,39.37,29.18,46.77,402,399,433,465,415,557,571,396,461,531,402,46.03,45.03,41.48,40.95,42.93,40.73,38.72,44.96,41.76,41.9,43.67
U0013,58.35,57.01,51.97,33.81,46.9,188,131,139,195,207,308,255,184,176,284,175,53.43,54.39,52.57,49.56,49.75,47.32,47.22,52.3,51.7,48.97,51.69
U0014,31.71,18.31,30.0,0.0,37.05,1573,1383,1245,1242,1357,1470,1042,1215,1175,1087,1281,20.7,24.45,25.03,25.33,23.43,22.11,29.52,27.99,27.06,31.29,25.35
U0015,39.7,41.32,46.28,9.17,42.85,437,654,537,612,483,589,897,622,659,611,834,45.12,38.8,38.54,37.54,41.31,40.02,32.21,39.12,37.03,40.16,34.02
U0016,33.02,14.93,13.11,0.0,36.72,1452,1399,1128,1563,1489,1415,1161,1100,1239,1726,1262,23.29,24.05,27.1,18.47,20.71,23.04,27.7,30.1,25.85,17.63,25.63
U0017,24.86,29.32,38.19,20.58,27.16,1432,1100,1290,1240,1186,1430,1036,909,1359,1240,1048,23.67,29.76,24.2,25.34,26.5,22.74,29.68,33.61,23.53,28.32,30.19
U0018,23.57,24.17,19.49,9.05,30.81,1353,1560,1445,1465,1477,1367,1496,1302,998,1514,1217,25.28,20.66,20.8,20.73,20.92,24.06,21.1,26.24,30.55,22.93,26.73
U0019,43.35,32.49,18.72,25.27,59.56,878,549,413,889,824,1037,570,489,663,843,1012,35.07,41.43,42.06,32.11,33.9,30.52,38.73,42.13,37.0,35.77,30.74
U0020,41.88,32.84,29.64,40.64,16.07,1086,1017,990,982,836,785,806,1038,1085,1008,856,30.74,31.21,29.94,30.31,33.68,36.1,34.19,31.15,28.96,32.71,33.68
U0021,43.44,39.41,22.61,29.55,40.29,714,1003,737,1077,969,856,696,677,728,828,941,38.66,31.52,34.24,28.4,31.04,34.39,36.16,38.11,35.34,35.96,31.93
U0022,25.72,13.6,5.68,36.69,13.69,1667,1615,1744,1662,1764,1731,1491,1707,1603,1620,1885,18.58,19.38,13.96,16.14,13.78,15.49,21.18,17.21,18.41,20.31,10.31
U0023,51.52,32.43,50.46,59.37,50.25,597,372,146,191,600,343,133,328,323,126,216,41.05,45.81,51.92,49.63,38.74,45.96,53.33,47.46,45.93,55.81,49.67
U0024,19.48,11.41,15.0,23.12,19.27,1798,1668,1798,1755,1533,1802,1614,1284,1616,1791,1616,14.14,18.16,12.43,13.65,19.47,12.97,18.23,26.53,18.03,15.38,18.74
U0025,46.94,47.07,43.27,30.45,40.01,318,216,500,484,522,423,484,557,537,456,465,48.67,50.72,39.5,40.59,40.61,43.9,40.75,40.62,39.88,43.84,41.74
U0026,40.43,31.68,23.27,39.32,23.78,1106,1257,1041,880,1079,963,935,835,1092,1111,1505,30.35,26.55,29.04,32.26,28.71,32.23,31.5,35.04,28.84,30.9,21.27
U0027,17.28,23.93,6.29,17.12,0.0,1727,1841,1902,1782,1858,1808,1943,1922,1954,1686,1870,16.82,12.35,8.34,12.73,10.53,12.8,7.43,9.36,5.76,18.8,10.9
U0028,49.92,56.57,40.47,39.02,54.86,337,201,168,173,240,306,200,209,222,213,335,47.95,51.3,51.07,50.55,48.61,47.36,50.14,51.07,49.26,51.49,45.63
U0029,35.72,22.06,31.14,29.53,19.05,1242,1066,1120,746,945,1232,1195,1250,1136,1338,1242,27.43,30.35,27.3,34.64,31.43,26.76,27.2,27.49,28.01,26.44,26.01
U0030,70.56,56.48,59.51,42.38,65.8,62,41,36,55,67,31,51,36,68,31,20,59.64,61.02,60.94,58.3,57.98,62.65,59.22,62.65,57.94,63.6,63.58
U0031,32.85,26.72,15.5,17.92,33.05,1121,1021,967,1506,1515,1311,1092,1276,1315,1300,1357,30.11,31.12,30.35,19.99,19.95,25.27,28.74,26.73,24.38,27.24,24.22
U0032,64.79,46.89,49.13,21.59,55.86,181,187,225,304,181,213,235,122,214,160,277,53.75,51.87,48.62,45.77,50.75,51.11,47.9,55.44,49.89,53.86,47.69
U0033,25.78,25.78,20.15,30.47,17.46,1386,1330,1121,1348,1488,1528,1256,1428,1192,1233,1426,24.73,25.35,27.24,23.24,20.72,20.49,25.85,23.66,26.77,28.48,22.99
U0034,13.44,6.83,14.66,0.0,10.61,1825,1727,1915,1748,1810,1839,1914,1906,1936,1865,1930,13.14,16.61,7.91,13.9,12.04,11.84,8.84,10.28,7.29,12.11,7.99
